DateTime,Concentration,Diff,SgnDiff,SgnDiff1,SgnDiff2,SgnDiff3,Year,Month,DayWeek,Hour,Outlier,IsOutDiff,Concentration_Imput2,IndexLastMiss
2019-01-06 21:00:00,2.5,0.20000000000000018,1.0,-1.0,1.0,1.0,2019,Jan,Sun,21,0,0,2.5,0
2019-01-06 22:00:00,2.9,0.3999999999999999,1.0,-1.0,1.0,1.0,2019,Jan,Sun,22,0,0,2.9,0
2019-01-06 23:00:00,3.7,0.8000000000000003,1.0,-1.0,1.0,1.0,2019,Jan,Sun,23,0,0,3.7,0
2019-01-07 00:00:00,3.7,0.0,1.0,1.0,1.0,-1.0,2019,Jan,Mon,0,0,0,3.7,0
2019-01-07 01:00:00,3.6,-0.10000000000000009,-1.0,1.0,-1.0,-1.0,2019,Jan,Mon,1,0,0,3.6,0
2019-01-07 02:00:00,3.6,0.0,1.0,1.0,-1.0,-1.0,2019,Jan,Mon,2,0,0,3.6,0
2019-01-07 03:00:00,3.7,0.10000000000000009,1.0,1.0,1.0,-1.0,2019,Jan,Mon,3,0,0,3.7,0
2019-01-07 04:00:00,4.2,0.5,1.0,-1.0,-1.0,-1.0,2019,Jan,Mon,4,0,0,4.2,0
2019-01-07 05:00:00,4.1,-0.10000000000000053,-1.0,1.0,-1.0,1.0,2019,Jan,Mon,5,0,0,4.1,0
2019-01-07 06:00:00,2.7,-1.3999999999999995,-1.0,1.0,1.0,1.0,2019,Jan,Mon,6,0,1,2.7,0
2019-01-07 07:00:00,1.9,-0.8000000000000003,-1.0,1.0,1.0,1.0,2019,Jan,Mon,7,0,1,1.9,0
2019-01-07 08:00:00,2.6,0.7000000000000002,1.0,1.0,1.0,1.0,2019,Jan,Mon,8,0,0,2.6,0
2019-01-07 09:00:00,2.9,0.2999999999999998,1.0,-1.0,1.0,1.0,2019,Jan,Mon,9,0,0,2.9,0
2019-01-07 10:00:00,3.4,0.5,1.0,1.0,1.0,1.0,2019,Jan,Mon,10,0,0,3.4,0
2019-01-07 11:00:00,3.4,0.0,1.0,1.0,1.0,-1.0,2019,Jan,Mon,11,0,0,3.4,0
2019-01-07 12:00:00,2.4,-1.0,-1.0,-1.0,1.0,1.0,2019,Jan,Mon,12,0,0,2.4,0
